TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"11-21083-2026","2026-07-08 10:36:21","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","970000","76.12","76.12","1 B/R","B-126","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","HYATI RESIDENCE"
"11-21084-2026","2026-07-15 10:44:04","Sales","Sale","Ready","Free Hold","Residential","BARSHA HEIGHTS","Unit","Flat","810000","78.51","78.51","Studio","B1-044","Dubai Internet City","Mall of the Emirates","Burj Al Arab","0","0","","MADISON RESIDENCY"
"11-21086-2026","2026-07-08 11:11:37","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Third","Land","Residential","6350000","280.32","280.32","","","","","","0","0","","DAMAC HILLS - SILVER SPRINGS 3"
"11-21087-2026","2026-07-08 09:17:46","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","3550000","179.8","179.8","2 B/R","4-B143","Palm Jumeirah","Marina Mall","Burj Al Arab","0","0","","MARINA RESIDENCE"
"11-21088-2026","2026-07-08 09:19:17","Sales","Sale","Ready","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","2750000","216.42","216.42","3 B/R","G-59, G-60","","","","0","0","","HOLLAND GARDENS "
"11-21089-2026","2026-07-08 11:12:03","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Fourth","Land","Land","12300000","620.84","620.84","","","","","","0","0","","Harmony"
"11-21090-2026","2026-07-08 09:47:30","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1850000","108.08","108.08","2 B/R","P-39","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Phoenix"
"11-21091-2026","2026-07-08 09:45:52","Sales","Sale","Ready","Free Hold","Residential","MEYDAN AVENUE","Unit","Flat","3050000","206.2","206.2","2 B/R","G-04","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","THE POLO RESIDENCE"
"11-21092-2026","2026-07-08 09:41:01","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2500000","217.92","217.92","3 B/R","B2-24 & B2-25","Damac Properties","Marina Mall","Burj Al Arab","0","0","","LAKE SHORE TOWER"
"11-21093-2026","2026-07-08 09:36:29","Sales","Sale","Ready","Free Hold","Residential","DISCOVERY GARDENS","Unit","Flat","480000","51","51","Studio","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-21094-2026","2026-07-08 09:58:05","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1366000","87.33","87.33","2 B/R","P4-13","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","CLOUD Tower "
"11-21096-2026","2026-07-08 10:21:16","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1950000","80.83","80.83","1 B/R","L3-3184","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","MBL Royal"
"11-21097-2026","2026-07-17 11:28:42","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","1415000","74.32","74.32","1 B/R","P-32","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Vista by Prestige One "
"11-21098-2026","2026-07-08 10:08:44","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","685000","74.04","74.04","1 B/R","B1-18","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","SEASONS COMMUNITY- AUTUMN"
"11-21099-2026","2026-07-08 10:53:04","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1800000","112.24","112.24","","","","","","0","0","","DAMAC HILLS (2) - CAMELIA"
"11-21100-2026","2026-07-08 09:55:32","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1200000","75.03","75.03","1 B/R","P4-53","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Royale"
"11-21101-2026","2026-07-08 10:08:45","Sales","Sale","Ready","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1665000","77.29","77.29","1 B/R","P2-08","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","WILTON PARK RESIDENCES "
"11-21102-2026","2026-07-08 10:56:59","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Office","3000000","102.01","102.01","Office","DMCC-2109","Damac Properties","Marina Mall","Burj Al Arab","0","0","","JUMEIRAH BUSINESS CENTRE 5"
"11-21103-2026","2026-07-08 10:41:06","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2950000","131.26","131.26","2 B/R","L2-2079","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","MBL Royal"
"11-21104-2026","2026-07-08 10:24:26","Sales","Sale","Ready","Free Hold","Residential","LIVING LEGENDS","Unit","Flat","640000","40.87","40.87","Studio","G-08","","","Global Village","0","0","","LIVING LEGENDS PHASE 5"
"11-21106-2026","2026-07-08 12:25:58","Sales","Sale","Ready","Free Hold","Residential","AL KHAIL HEIGHTS","Unit","Flat","1250000","162.7","162.7","2 B/R","G-1566","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","0","0","","AL KHAIL HEIGHTS"
"11-21107-2026","2026-07-08 12:51:29","Sales","Sale","Ready","Non Free Hold","Residential","Al Twar Fourth","Land","Residential","1710000","395.02","395.02","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","0","0","",""
"11-21108-2026","2026-07-08 11:26:11","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Hotel Apartment","747337","48.47","48.47","Studio","G-41","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","AYKON CITY "
"11-21109-2026","2026-07-08 11:30:19","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","4999999","224.29","224.29","3 B/R","Building 10-B3-53 , Building 10-B3-26","Palm Jumeirah","Marina Mall","Burj Al Arab","0","0","","GOLDEN MILE"
"11-21110-2026","2026-07-08 12:21:05","Sales","Sale","Ready","Free Hold","Residential","CITY WALK","Unit","Flat","5000000","159.75","159.75","2 B/R","B-272","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","No.17, No.18a,No.18b and No.19 Citywalk Residential "
"11-21111-2026","2026-07-08 10:45:59","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1765000","101.36","101.36","1 B/R","B2-310","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","",""
"11-21112-2026","2026-07-08 10:53:59","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","995000","76.7","76.7","1 B/R","B1-75","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","REEF RESIDENCE"
"11-21113-2026","2026-07-08 11:18:04","Sales","Sale","Ready","Free Hold","Residential","DISCOVERY GARDENS","Unit","Flat","1000000","124.64","124.64","2 B/R","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-21114-2026","2026-07-08 11:08:53","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","2600000","126.72","126.72","3 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","VALENCIA"
"11-21115-2026","2026-07-08 10:52:15","Sales","Sale","Ready","Free Hold","Residential","MBR DISTRICT 7","Building","Villa","3550000","129.28","129.28","3 B/R","","","","","0","0","","MAG EYE Phase 1"
"11-21116-2026","2026-07-08 11:25:32","Sales","Sale","Ready","Free Hold","Residential","TOWN SQUARE","Building","Villa","2700000","188.6","188.6","3 B/R","","","","","0","0","","NOOR TOWNHOUSES"
"11-21117-2026","2026-07-09 15:36:26","Sales","Sale","Ready","Free Hold","Residential","DUBAI WATER CANAL","Unit","Flat","3550000","125.41","125.41","2 B/R","B1-102","Business Bay Metro Station","Dubai Mall","Burj Khalifa","0","0","","Canal Front Residences-CF3&CF4"
"11-21118-2026","2026-07-08 10:59:05","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1220000","96.29","96.29","2 B/R","B2-40","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","",""
"11-21119-2026","2026-07-08 11:16:05","Sales","Sale","Ready","Free Hold","Residential","DISCOVERY GARDENS","Unit","Flat","500000","43.26","43.26","Studio","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-21120-2026","2026-07-08 11:09:30","Sales","Sale","Ready","Free Hold","Residential","LIWAN","Unit","Flat","550000","65.87","65.87","1 B/R","G-202","","","IMG World Adventures","0","0","","QPOINT LIWAN-PLOT R008 A&B"
"11-21121-2026","2026-07-08 11:13:56","Sales","Sale","Ready","Free Hold","Residential","LIWAN","Unit","Flat","550000","64.81","64.81","1 B/R","G-248","","","IMG World Adventures","0","0","","QPOINT LIWAN-PLOT R008 A&B"
"11-21122-2026","2026-07-08 12:11:29","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1535000","104.55","104.55","2 B/R","B4-46","Jumeirah Beach Residency","Marina Mall","Sports City Swimming Academy","0","0","","ESCAN MARINA TOWER"
"11-21124-2026","2026-07-08 11:19:44","Sales","Sale","Ready","Non Free Hold","Residential","SILICON OASIS","Unit","Flat","740000","71.79","71.79","1 B/R","G - 107","","","IMG World Adventures","0","0","","RUBY RESIDENCE"
"11-21125-2026","2026-07-09 16:15:05","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","436108","68","68","1 B/R","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-21126-2026","2026-07-08 11:42:45","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1000000","43.75","43.75","1 B/R","B2-113","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","ZADA TOWER"
"11-21127-2026","2026-07-08 11:28:24","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1090000","78.59","78.59","1 B/R","P1-27","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Binghatti Apex"
"11-21128-2026","2026-07-08 11:21:57","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","530000","42.18","42.18","Studio","G-80","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","GIOVANNI BOUTIQUE"
"11-21129-2026","2026-07-08 11:26:39","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","900000","43.8","43.8","1 B/R","B-113","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","REVA RESIDENCES"
"11-21130-2026","2026-07-08 11:55:33","Sales","Sale","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","2200000","108.73","108.73","1 B/R","L1-28","Creek Metro Station","Dubai Mall","Dubai International Airport","0","0","","THE DUBAI CREEK RESIDENCES"
"11-21131-2026","2026-07-08 11:34:33","Sales","Sale","Ready","Free Hold","Residential","MIRA","Building","Villa","3425000","337.45","337.45","3 B/R","","","","Dubai Cycling Course","0","0","","REEM - MIRA OASIS COMMUNITY"
"11-21132-2026","2026-07-09 14:09:45","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1200000","88.81","88.81","2 B/R","B2-111, B2-112","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","MERANO TOWER"
"11-21133-2026","2026-07-08 11:31:33","Sales","Sale","Ready","Free Hold","Residential","LIWAN","Building","Villa","2025000","211.54","211.54","2 B/R","","","","IMG World Adventures","0","0","","SUNRISE BOULEVARD 10"
"11-21134-2026","2026-07-08 13:02:10","Sales","Sale","Ready","Free Hold","Residential","Al Kheeran","Unit","Flat","2700000","209.73","209.73","3 B/R","B-19, B-20","Emirates Metro Station","City Centre Mirdif","Dubai International Airport","0","0","",""
"11-21135-2026","2026-07-09 14:37:45","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH GOLF","Unit","Flat","1000000","76.22","76.22","1 B/R","PH1-1LG-21","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","ALANDALUS"
"11-21136-2026","2026-07-08 11:45:59","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","2975000","144.84","144.84","3 B/R","","","","","0","0","","Arabian Ranches lll - Raya"
"11-21137-2026","2026-07-08 12:44:44","Sales","Sale","Ready","Free Hold","Residential","MEYDAN AVENUE","Unit","Flat","1950000","132.33","132.33","2 B/R","G-50","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","",""
"11-21138-2026","2026-07-08 11:46:37","Sales","Sale","Ready","Free Hold","Residential","THE FIELD","Building","Villa","3250000","187.19","187.19","4 B/R","","","","IMG World Adventures","0","0","","THE FIELDS AT D11 - MBRMC"
"11-21139-2026","2026-07-08 12:36:08","Sales","Sale","Ready","Free Hold","Residential","DUBAI WATER CANAL","Unit","Flat","14950000","268.21","268.21","3 B/R","B-061, B-062","Business Bay Metro Station","Dubai Mall","Burj Khalifa","0","0","","Eden House The Canal"
"11-21140-2026","2026-07-08 12:00:50","Sales","Sale","Ready","Free Hold","Residential","LIWAN","Unit","Flat","875000","75.2","75.2","1 B/R","G-53","","","IMG World Adventures","0","0","","Symbolic Alpha"
"11-21141-2026","2026-07-08 12:10:00","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Unit","Flat","1500000","61.21","61.21","1 B/R","G-0174","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Park Horizon"
"11-21142-2026","2026-07-08 12:47:35","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1210000","125.61","125.61","2 B/R","P-127","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","LE GRAND CHATEAU"
"11-21143-2026","2026-07-09 10:03:26","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","1790000","77.64","77.64","Office","P6-22","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","CITADEL TOWER"
"11-21144-2026","2026-07-08 12:22:27","Sales","Sale","Ready","Free Hold","Residential","DISCOVERY GARDENS","Unit","Flat","1300000","147.07","147.07","2 B/R","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-21145-2026","2026-07-08 12:46:06","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES I","Land","Residential","7750000","720.18","720.18","","","","","Motor City","0","0","",""
"11-21146-2026","2026-07-08 12:43:51","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH BEACH RESIDENCE","Unit","Flat","9000000","552.32","552.32","2 B/R","G072-3","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","0","0","",""
"11-21147-2026","2026-07-08 13:01:14","Sales","Sale","Ready","Free Hold","Residential","DUBAI WATER FRONT","Unit","Flat","615000","95.64","95.64","1 B/R","B-79","UAE Exchange Metro Station","","Dubai Parks and Resorts","0","0","","BADRA PHASE 1"
"11-21148-2026","2026-07-13 14:53:15","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Office","470850","26.04","26.04","Office","EU","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","THE BRIDGE"
"11-21149-2026","2026-07-08 12:29:24","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1900000","69","69","1 B/R","L5-31","Jumeirah Lakes Towers","Marina Mall","Burj Al Arab","0","0","","VIDA Residences Dubai Marina"
"11-21150-2026","2026-07-08 12:48:27","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","2300000","123.99","123.99","Office","B2-93","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","IRIS BAY"
"11-21151-2026","2026-07-08 15:15:28","Sales","Sale","Ready","Non Free Hold","Residential","Um Al Sheif","Land","Residential","13200000","1393.55","1393.55","","","","","","0","0","",""
"11-21152-2026","2026-07-08 12:51:13","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Building","Villa","4800000","137.48","137.48","3 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","SEASONS COMMUNITY- AUTUMN"
"11-21153-2026","2026-07-10 08:30:40","Sales","Sale","Ready","Free Hold","Residential","DOWN TOWN JABAL ALI","Unit","Flat","1700000","299.66","299.66","4 B/R","M-091","UAE Exchange Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","SUBERBIA"
"11-21155-2026","2026-07-08 12:32:49","Sales","Sale","Ready","Free Hold","Residential","MEYDAN ONE","Unit","Flat","921635","31.98","31.98","Studio","B2-76","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","AZIZI RIVIERA 65"
"11-21156-2026","2026-07-09 14:33:11","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1320000","67.07","67.07","1 B/R","P4-38","Dubai Marina","Marina Mall","Burj Al Arab","0","0","","SKY VIEW TOWER"
"11-21157-2026","2026-07-08 12:41:36","Sales","Sale","Ready","Free Hold","Residential","VILLANOVA","Building","Villa","2075000","165.35","165.35","2 B/R","","","","IMG World Adventures","0","0","","Villanova Amaranta A "
"11-21159-2026","2026-07-08 12:57:49","Sales","Sale","Ready","Free Hold","Residential","AL FURJAN","Unit","Flat","1450000","91.41","91.41","2 B/R","P2-22","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","PG ONE AT AL FURJAN"
"11-21160-2026","2026-07-08 14:05:33","Sales","Sale","Ready","Non Free Hold","Residential","Al Warqa Fourth","Land","Residential","4000000","1163.98","1163.98","","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-21161-2026","2026-07-08 12:59:29","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","4000000","188.49","188.49","3 B/R","B1-415","Jumeirah Lakes Towers","Marina Mall","Burj Al Arab","0","0","",""
"11-21162-2026","2026-07-08 13:12:46","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Hotel Apartment","2900000","84.08","84.08","1 B/R","B3-173","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","THE ADDRESS - THE BLVD"
"11-21163-2026","2026-07-08 15:27:33","Sales","Sale","Ready","Free Hold","Residential","MBR DISTRICT 1","Land","Residential","30000000","1253.72","1253.72","","","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","",""
"11-21164-2026","2026-07-08 13:08:47","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","445000","49.15","49.15","Studio","B - 92","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","FRANKFURT SPORTS TOWER I"
"11-21165-2026","2026-07-08 14:03:36","Sales","Sale","Ready","Free Hold","Commercial","Jabal Ali First","Land","Commercial","8400000","570","570","","","","","","0","0","","Murooj Al Furjan 1"
"11-21166-2026","2026-07-08 13:48:14","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1550000","87.19","87.19","1 B/R","B2-38","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","THE STERLING WEST HOUSE"
"11-21167-2026","2026-07-08 15:01:12","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","275000","37.8","75.59","1 B/R","B2-92","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","CANAL RESIDENCE WEST (PHASE 1)"
"11-21168-2026","2026-07-08 13:27:52","Sales","Sale","Ready","Free Hold","Residential","DISCOVERY GARDENS","Unit","Flat","480000","49","49","Studio","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-21169-2026","2026-07-08 13:58:41","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","430000","37.45","37.45","Studio","P-57","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","SERENITY LAKES 5"
"11-21170-2026","2026-07-08 14:54:38","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1250000","78.25","78.25","1 B/R","P2-81","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Binghatti Apex"
"11-21171-2026","2026-07-08 14:01:06","Sales","Sale","Ready","Free Hold","Commercial","PALM JUMEIRAH","Land","Commercial","56000000","720.06","720.06","","","Knowledge Village","Marina Mall","Burj Al Arab","0","0","",""
"11-21172-2026","2026-07-08 14:59:35","Sales","Sale","Ready","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","650000","46.05","46.05","Studio","B-47","Sharaf Dg Metro Station","","Motor City","0","0","","LAYA HEIGHTS"
"11-21173-2026","2026-07-08 13:38:59","Sales","Sale","Ready","Free Hold","Residential","MEYDAN AVENUE","Unit","Flat","4740000","212.41","212.41","3 B/R","G-59,G-60","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Flamingo Lux Residence"
"11-21174-2026","2026-07-09 13:09:18","Sales","Sale","Ready","Non Free Hold","Commercial","Hor Al Anz","Land","Commercial","1800000","226.22","226.22","","","Abu Baker Al Siddique Metro Station","","Dubai International Airport","0","0","",""
"11-21176-2026","2026-07-08 16:35:08","Sales","Sale","Ready","Free Hold","Residential","DISCOVERY GARDENS","Unit","Flat","727304","90","90","1 B/R","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-21177-2026","2026-07-08 17:03:40","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1500000","67.11","67.11","1 B/R","B3-002","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","WEST FIVE BUSINESS BAY RESIDENCES"
"11-21178-2026","2026-07-08 14:14:14","Sales","Sale","Ready","Free Hold","Residential","DAMAC HILLS","Unit","Flat","950000","76.05","76.05","1 B/R","B-19","","","Motor City","0","0","","DAMAC HILLS - GOLF PROMENADE"
"11-21179-2026","2026-07-08 15:08:26","Sales","Sale","Ready","Free Hold","Residential","SUSTAINABLE CITY","Building","Villa","4950000","214.84","214.84","4 B/R","","","","Motor City","0","0","","THE SUSTAINABLE CITY"
"11-21180-2026","2026-07-08 15:28:54","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 2 & 3","Land","Unit","74500000","2659.54","2659.54","","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-21181-2026","2026-07-08 14:32:07","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","417000","37.08","37.08","Studio","G-014","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","ELITE II SPORTS RESIDENCE"
"11-21181-2026","2026-07-08 14:32:07","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","417000","37.08","37.08","Studio","G-014","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","ELITE II SPORTS RESIDENCE"
"11-21182-2026","2026-07-08 14:46:10","Sales","Sale","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","3650000","143.6","143.6","3 B/R","B1-55,B1-56","","","","0","0","","HARBOUR VIEWS"
"11-21183-2026","2026-07-08 14:46:25","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Unit","Flat","800000","37.18","37.18","Studio","P2-47","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Global Village","0","0","","Prive Residence"
"11-21184-2026","2026-07-08 16:48:33","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Land","Residential Flats","7900000","444.64","444.64","","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","SIDRA"
"11-21185-2026","2026-07-08 15:28:50","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2070000","86.3","86.3","1 B/R","P4-52","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","DAMAC TOWERS BY PARAMOUNT"
"11-21186-2026","2026-07-08 14:56:48","Sales","Sale","Ready","Free Hold","Commercial","Palm Jumeirah","Land","Commercial","6900000","392.72","392.72","","","","","","0","0","",""
"11-21187-2026","2026-07-08 16:00:52","Sales","Sale","Ready","Free Hold","Residential","Mirdif","Unit","Flat","1500000","134.91","134.91","2 B/R","B-125","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","0","0","","MIRDIF HILLS- NASAYEM AVENUE"
"11-21188-2026","2026-07-08 16:36:07","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","750000","42.14","42.14","Office","P3-135","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","TAMANI ARTS OFFICES"
"11-21189-2026","2026-07-10 12:16:23","Sales","Sale","Ready","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1200000","116.47","116.47","2 B/R","B1-07","","","IMG World Adventures","0","0","","PHOENIX TOWER"
"11-21190-2026","2026-07-08 16:50:18","Sales","Sale","Ready","Free Hold","Residential","BARSHA HEIGHTS","Unit","Hotel Apartment","467419","22.82","22.82","Studio","(1)","Dubai Internet City","Mall of the Emirates","Burj Al Arab","0","0","","METRO CENTRAL"
"11-21191-2026","2026-07-09 14:51:38","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","6000000","1113.59","1113.59","4 B/R","B1/31&32","Marina Mall Metro Station","Marina Mall","Burj Al Arab","0","0","",""
"11-21192-2026","2026-07-08 16:50:00","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","525000","35.55","35.55","Studio","P-28","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","SIROYA GARDENS"
"11-21193-2026","2026-07-08 17:08:26","Sales","Sale","Ready","Free Hold","Residential","DAMAC HILLS","Unit","Flat","970000","73.12","73.12","1 B/R","T1-P2-01","","","Motor City","0","0","","DAMAC HILLS - LORETO"
"11-21194-2026","2026-07-08 17:20:13","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1140000","37.86","37.86","Studio","B2-019","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Peninsula Two"
"11-21195-2026","2026-07-08 21:00:46","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1180003.2","83.95","83.95","1 B/R","P2-56","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Binghatti Apex"
"11-21196-2026","2026-07-09 13:14:24","Sales","Sale","Ready","Non Free Hold","Residential","Al Nahda First","Land","","32500000","2702.65","2702.65","","","","","","0","0","",""
